start_time,away_team,home_team,away_team_score,home_team_score
2019-10-23 00:00:00+00:00,NEW ORLEANS PELICANS,TORONTO RAPTORS,122,130
2019-10-23 02:30:00+00:00,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,102,112
2019-10-23 23:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS,125,126
2019-10-23 23:00:00+00:00,DETROIT PISTONS,INDIANA PACERS,119,110
2019-10-23 23:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC,85,94
2019-10-23 23:30:00+00:00,MINNESOTA TIMBERWOLVES,BROOKLYN NETS,127,126
2019-10-23 23:30:00+00:00,MEMPHIS GRIZZLIES,MIAMI HEAT,101,120
2019-10-23 23:30:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS,93,107
2019-10-24 00:30:00+00:00,WASHINGTON WIZARDS,DALLAS MAVERICKS,100,108
2019-10-24 00:30:00+00:00,NEW YORK KNICKS,SAN ANTONIO SPURS,111,120
2019-10-24 01:00:00+00:00,OKLAHOMA CITY THUNDER,UTAH JAZZ,95,100
2019-10-24 02:00:00+00:00,SACRAMENTO KINGS,PHOENIX SUNS,95,124
2019-10-24 02:00:00+00:00,DENVER NUGGETS,PORTLAND TRAIL BLAZERS,108,100
2019-10-24 23:00:00+00:00,ATLANTA HAWKS,DETROIT PISTONS,117,100
2019-10-25 00:00:00+00:00,MILWAUKEE BUCKS,HOUSTON ROCKETS,117,111
2019-10-25 02:30:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS,141,122
2019-10-25 23:00:00+00:00,TORONTO RAPTORS,BOSTON CELTICS,106,112
2019-10-25 23:00:00+00:00,MINNESOTA TIMBERWOLVES,CHARLOTTE HORNETS,121,99
2019-10-25 23:30:00+00:00,NEW YORK KNICKS,BROOKLYN NETS,109,113
2019-10-26 00:00:00+00:00,CHICAGO BULLS,MEMPHIS GRIZZLIES,110,102
2019-10-26 00:00:00+00:00,DALLAS MAVERICKS,NEW ORLEANS PELICANS,123,116
2019-10-26 00:00:00+00:00,WASHINGTON WIZARDS,OKLAHOMA CITY THUNDER,97,85
2019-10-26 01:00:00+00:00,PHOENIX SUNS,DENVER NUGGETS,107,108
2019-10-26 02:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,122,112
2019-10-26 02:30:00+00:00,UTAH JAZZ,LOS ANGELES LAKERS,86,95
2019-10-26 21:00:00+00:00,MIAMI HEAT,MILWAUKEE BUCKS,131,126
2019-10-26 23:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS,117,111
2019-10-26 23:30:00+00:00,ORLANDO MAGIC,ATLANTA HAWKS,99,103
2019-10-26 23:30:00+00:00,BOSTON CELTICS,NEW YORK KNICKS,118,95
2019-10-27 00:00:00+00:00,TORONTO RAPTORS,CHICAGO BULLS,108,84
2019-10-27 00:00:00+00:00,INDIANA PACERS,CLEVELAND CAVALIERS,99,110
2019-10-27 00:00:00+00:00,NEW ORLEANS PELICANS,HOUSTON ROCKETS,123,126
2019-10-27 00:30:00+00:00,WASHINGTON WIZARDS,SAN ANTONIO SPURS,122,124
2019-10-27 01:00:00+00:00,SACRAMENTO KINGS,UTAH JAZZ,81,113
2019-10-27 02:00:00+00:00,LOS ANGELES CLIPPERS,PHOENIX SUNS,122,130
2019-10-27 19:30:00+00:00,GOLDEN STATE WARRIORS,OKLAHOMA CITY THUNDER,92,120
2019-10-27 22:00:00+00:00,BROOKLYN NETS,MEMPHIS GRIZZLIES,133,134
2019-10-27 23:00:00+00:00,PORTLAND TRAIL BLAZERS,DALLAS MAVERICKS,121,119
2019-10-27 23:00:00+00:00,MIAMI HEAT,MINNESOTA TIMBERWOLVES,109,116
2019-10-28 01:30:00+00:00,CHARLOTTE HORNETS,LOS ANGELES LAKERS,101,120
2019-10-28 23:00:00+00:00,CHICAGO BULLS,NEW YORK KNICKS,98,105
2019-10-28 23:00:00+00:00,INDIANA PACERS,DETROIT PISTONS,94,96
2019-10-28 23:30:00+00:00,ORLANDO MAGIC,TORONTO RAPTORS,95,104
2019-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,ATLANTA HAWKS,105,103
2019-10-29 00:00:00+00:00,OKLAHOMA CITY THUNDER,HOUSTON ROCKETS,112,116
2019-10-29 00:00:00+00:00,CLEVELAND CAVALIERS,MILWAUKEE BUCKS,112,129
2019-10-29 00:00:00+00:00,GOLDEN STATE WARRIORS,NEW ORLEANS PELICANS,134,123
2019-10-29 00:30:00+00:00,PORTLAND TRAIL BLAZERS,SAN ANTONIO SPURS,110,113
2019-10-29 02:00:00+00:00,UTAH JAZZ,PHOENIX SUNS,96,95
2019-10-29 02:00:00+00:00,DENVER NUGGETS,SACRAMENTO KINGS,101,94
2019-10-29 02:30:00+00:00,CHARLOTTE HORNETS,LOS ANGELES CLIPPERS,96,111
2019-10-29 23:30:00+00:00,ATLANTA HAWKS,MIAMI HEAT,97,112
2019-10-30 01:00:00+00:00,DALLAS MAVERICKS,DENVER NUGGETS,109,106
2019-10-30 02:30:00+00:00,MEMPHIS GRIZZLIES,LOS ANGELES LAKERS,91,120
2019-10-30 23:00:00+00:00,CHICAGO BULLS,CLEVELAND CAVALIERS,111,117
2019-10-30 23:00:00+00:00,NEW YORK KNICKS,ORLANDO MAGIC,83,95
2019-10-30 23:00:00+00:00,MINNESOTA TIMBERWOLVES,PHILADELPHIA 76ERS,95,117
2019-10-30 23:30:00+00:00,MILWAUKEE BUCKS,BOSTON CELTICS,105,116
2019-10-30 23:30:00+00:00,INDIANA PACERS,BROOKLYN NETS,118,108
2019-10-30 23:30:00+00:00,DETROIT PISTONS,TORONTO RAPTORS,113,125
2019-10-31 00:00:00+00:00,PORTLAND TRAIL BLAZERS,OKLAHOMA CITY THUNDER,102,99
2019-10-31 00:00:00+00:00,HOUSTON ROCKETS,WASHINGTON WIZARDS,159,158
2019-10-31 02:00:00+00:00,CHARLOTTE HORNETS,SACRAMENTO KINGS,118,111
2019-10-31 02:00:00+00:00,LOS ANGELES CLIPPERS,UTAH JAZZ,96,110
2019-10-31 02:30:00+00:00,PHOENIX SUNS,GOLDEN STATE WARRIORS,121,110
2019-10-31 23:00:00+00:00,MIAMI HEAT,ATLANTA HAWKS,106,97
2019-11-01 01:30:00+00:00,DENVER NUGGETS,NEW ORLEANS PELICANS,107,122
2019-11-01 02:30:00+00:00,SAN ANTONIO SPURS,LOS ANGELES CLIPPERS,97,103
2019-11-01 23:00:00+00:00,HOUSTON ROCKETS,BROOKLYN NETS,116,123
2019-11-01 23:00:00+00:00,CLEVELAND CAVALIERS,INDIANA PACERS,95,102
2019-11-01 23:00:00+00:00,MILWAUKEE BUCKS,ORLANDO MAGIC,123,91
2019-11-01 23:30:00+00:00,NEW YORK KNICKS,BOSTON CELTICS,102,104
2019-11-02 00:00:00+00:00,DETROIT PISTONS,CHICAGO BULLS,106,112
2019-11-02 01:30:00+00:00,LOS ANGELES LAKERS,DALLAS MAVERICKS,119,110
2019-11-02 02:00:00+00:00,UTAH JAZZ,SACRAMENTO KINGS,101,102
2019-11-02 02:30:00+00:00,SAN ANTONIO SPURS,GOLDEN STATE WARRIORS,127,110
2019-11-02 21:00:00+00:00,NEW ORLEANS PELICANS,OKLAHOMA CITY THUNDER,104,115
2019-11-02 23:00:00+00:00,BROOKLYN NETS,DETROIT PISTONS,109,113
2019-11-02 23:00:00+00:00,DENVER NUGGETS,ORLANDO MAGIC,91,87
2019-11-03 00:00:00+00:00,PHOENIX SUNS,MEMPHIS GRIZZLIES,114,105
2019-11-03 00:00:00+00:00,TORONTO RAPTORS,MILWAUKEE BUCKS,105,115
2019-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,WASHINGTON WIZARDS,131,109
2019-11-03 00:30:00+00:00,CHARLOTTE HORNETS,GOLDEN STATE WARRIORS,93,87
2019-11-03 02:00:00+00:00,PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS,129,128
2019-11-03 22:00:00+00:00,CHICAGO BULLS,INDIANA PACERS,95,108
2019-11-03 23:00:00+00:00,HOUSTON ROCKETS,MIAMI HEAT,100,129
2019-11-03 23:00:00+00:00,SACRAMENTO KINGS,NEW YORK KNICKS,113,92
2019-11-04 00:00:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS,103,96
2019-11-04 00:30:00+00:00,DALLAS MAVERICKS,CLEVELAND CAVALIERS,131,111
2019-11-04 02:00:00+00:00,UTAH JAZZ,LOS ANGELES CLIPPERS,94,105
2019-11-05 00:00:00+00:00,DETROIT PISTONS,WASHINGTON WIZARDS,99,115
2019-11-05 00:30:00+00:00,NEW ORLEANS PELICANS,BROOKLYN NETS,125,135
2019-11-05 01:00:00+00:00,HOUSTON ROCKETS,MEMPHIS GRIZZLIES,107,100
2019-11-05 01:00:00+00:00,MILWAUKEE BUCKS,MINNESOTA TIMBERWOLVES,134,106
2019-11-05 02:00:00+00:00,PHILADELPHIA 76ERS,PHOENIX SUNS,109,114
2019-11-05 03:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,118,127
2019-11-06 00:00:00+00:00,INDIANA PACERS,CHARLOTTE HORNETS,120,122
2019-11-06 00:00:00+00:00,BOSTON CELTICS,CLEVELAND CAVALIERS,119,113
2019-11-06 00:30:00+00:00,SAN ANTONIO SPURS,ATLANTA HAWKS,100,108
2019-11-06 01:00:00+00:00,LOS ANGELES LAKERS,CHICAGO BULLS,118,112
2019-11-06 01:00:00+00:00,ORLANDO MAGIC,OKLAHOMA CITY THUNDER,94,102
2019-11-06 02:00:00+00:00,MIAMI HEAT,DENVER NUGGETS,89,109
2019-11-07 00:00:00+00:00,NEW YORK KNICKS,DETROIT PISTONS,102,122
2019-11-07 00:00:00+00:00,WASHINGTON WIZARDS,INDIANA PACERS,106,121
2019-11-07 00:30:00+00:00,CHICAGO BULLS,ATLANTA HAWKS,113,93
2019-11-07 00:30:00+00:00,GOLDEN STATE WARRIORS,HOUSTON ROCKETS,112,129
2019-11-07 00:30:00+00:00,SACRAMENTO KINGS,TORONTO RAPTORS,120,124
2019-11-07 01:00:00+00:00,MINNESOTA TIMBERWOLVES,MEMPHIS GRIZZLIES,121,137
2019-11-07 01:30:00+00:00,ORLANDO MAGIC,DALLAS MAVERICKS,106,107
2019-11-07 02:00:00+00:00,PHILADELPHIA 76ERS,UTAH JAZZ,104,106
2019-11-07 03:00:00+00:00,MILWAUKEE BUCKS,LOS ANGELES CLIPPERS,129,124
2019-11-08 01:00:00+00:00,BOSTON CELTICS,CHARLOTTE HORNETS,108,87
2019-11-08 01:30:00+00:00,OKLAHOMA CITY THUNDER,SAN ANTONIO SPURS,112,121
2019-11-08 02:00:00+00:00,MIAMI HEAT,PHOENIX SUNS,124,108
2019-11-08 03:30:00+00:00,PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,101,107
2019-11-09 00:00:00+00:00,DETROIT PISTONS,INDIANA PACERS,106,112
2019-11-09 00:00:00+00:00,MEMPHIS GRIZZLIES,ORLANDO MAGIC,86,118
2019-11-09 00:00:00+00:00,CLEVELAND CAVALIERS,WASHINGTON WIZARDS,113,100
2019-11-09 00:30:00+00:00,SACRAMENTO KINGS,ATLANTA HAWKS,121,109
2019-11-09 01:00:00+00:00,GOLDEN STATE WARRIORS,MINNESOTA TIMBERWOLVES,119,125
2019-11-09 01:00:00+00:00,TORONTO RAPTORS,NEW ORLEANS PELICANS,122,104
2019-11-09 01:30:00+00:00,NEW YORK KNICKS,DALLAS MAVERICKS,106,102
2019-11-09 02:00:00+00:00,PHILADELPHIA 76ERS,DENVER NUGGETS,97,100
2019-11-09 02:00:00+00:00,MILWAUKEE BUCKS,UTAH JAZZ,100,103
2019-11-09 03:00:00+00:00,BROOKLYN NETS,PORTLAND TRAIL BLAZERS,119,115
2019-11-09 03:30:00+00:00,MIAMI HEAT,LOS ANGELES LAKERS,80,95
2019-11-09 22:00:00+00:00,BOSTON CELTICS,SAN ANTONIO SPURS,135,115
2019-11-10 00:00:00+00:00,NEW ORLEANS PELICANS,CHARLOTTE HORNETS,115,110
2019-11-10 01:00:00+00:00,HOUSTON ROCKETS,CHICAGO BULLS,117,94
2019-11-10 01:00:00+00:00,DALLAS MAVERICKS,MEMPHIS GRIZZLIES,138,122
2019-11-10 01:00:00+00:00,GOLDEN STATE WARRIORS,OKLAHOMA CITY THUNDER,108,114
2019-11-10 20:30:00+00:00,DENVER NUGGETS,MINNESOTA TIMBERWOLVES,100,98
