start_time,away_team,home_team,away_team_score,home_team_score
2020-12-23 00:00:00+00:00,GOLDEN STATE WARRIORS,BROOKLYN NETS,99,125
2020-12-23 03:00:00+00:00,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,116,109
2020-12-24 00:00:00+00:00,CHARLOTTE HORNETS,CLEVELAND CAVALIERS,114,121
2020-12-24 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS,107,121
2020-12-24 00:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC,107,113
2020-12-24 00:00:00+00:00,WASHINGTON WIZARDS,PHILADELPHIA 76ERS,107,113
2020-12-24 00:30:00+00:00,NEW ORLEANS PELICANS,TORONTO RAPTORS,113,99
2020-12-24 00:30:00+00:00,MILWAUKEE BUCKS,BOSTON CELTICS,121,122
2020-12-24 01:00:00+00:00,ATLANTA HAWKS,CHICAGO BULLS,124,104
2020-12-24 01:00:00+00:00,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,131,119
2020-12-24 01:00:00+00:00,DETROIT PISTONS,MINNESOTA TIMBERWOLVES,101,111
2020-12-24 02:00:00+00:00,SACRAMENTO KINGS,DENVER NUGGETS,124,122
2020-12-24 03:00:00+00:00,UTAH JAZZ,PORTLAND TRAIL BLAZERS,120,100
2020-12-24 03:30:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS,102,106
2020-12-25 17:00:00+00:00,NEW ORLEANS PELICANS,MIAMI HEAT,98,111
2020-12-25 19:30:00+00:00,GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,99,138
2020-12-25 22:00:00+00:00,BROOKLYN NETS,BOSTON CELTICS,123,95
2020-12-26 01:00:00+00:00,DALLAS MAVERICKS,LOS ANGELES LAKERS,115,138
2020-12-26 03:30:00+00:00,LOS ANGELES CLIPPERS,DENVER NUGGETS,121,108
2020-12-26 22:00:00+00:00,ATLANTA HAWKS,MEMPHIS GRIZZLIES,122,112
2020-12-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,CHARLOTTE HORNETS,109,107
2020-12-27 00:00:00+00:00,CLEVELAND CAVALIERS,DETROIT PISTONS,128,119
2020-12-27 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS,130,120
2020-12-27 00:30:00+00:00,PHILADELPHIA 76ERS,NEW YORK KNICKS,109,89
2020-12-27 01:00:00+00:00,INDIANA PACERS,CHICAGO BULLS,125,106
2020-12-27 01:30:00+00:00,TORONTO RAPTORS,SAN ANTONIO SPURS,114,119
2020-12-27 02:00:00+00:00,MINNESOTA TIMBERWOLVES,UTAH JAZZ,116,111
2020-12-27 03:00:00+00:00,HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS,126,128
2020-12-27 03:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS,103,106
2020-12-27 20:30:00+00:00,DALLAS MAVERICKS,LOS ANGELES CLIPPERS,124,73
2020-12-28 00:00:00+00:00,SAN ANTONIO SPURS,NEW ORLEANS PELICANS,95,98
2020-12-28 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS,120,113
2020-12-28 00:00:00+00:00,BROOKLYN NETS,CHARLOTTE HORNETS,104,106
2020-12-28 00:30:00+00:00,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,94,118
2020-12-28 00:30:00+00:00,MILWAUKEE BUCKS,NEW YORK KNICKS,110,130
2020-12-28 01:00:00+00:00,BOSTON CELTICS,INDIANA PACERS,107,108
2020-12-28 01:00:00+00:00,GOLDEN STATE WARRIORS,CHICAGO BULLS,129,128
2020-12-28 02:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS,116,100
2020-12-28 03:00:00+00:00,MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,91,127
2020-12-29 00:30:00+00:00,MEMPHIS GRIZZLIES,BROOKLYN NETS,116,111
2020-12-29 00:30:00+00:00,DETROIT PISTONS,ATLANTA HAWKS,120,128
2020-12-29 01:00:00+00:00,UTAH JAZZ,OKLAHOMA CITY THUNDER,110,109
2020-12-29 02:00:00+00:00,HOUSTON ROCKETS,DENVER NUGGETS,111,124
2020-12-29 03:00:00+00:00,PORTLAND TRAIL BLAZERS,LOS ANGELES LAKERS,115,107
2020-12-30 00:00:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS,95,86
2020-12-30 00:00:00+00:00,GOLDEN STATE WARRIORS,DETROIT PISTONS,116,106
2020-12-30 00:00:00+00:00,BOSTON CELTICS,INDIANA PACERS,116,111
2020-12-30 00:00:00+00:00,CHICAGO BULLS,WASHINGTON WIZARDS,115,107
2020-12-30 00:00:00+00:00,TORONTO RAPTORS,PHILADELPHIA 76ERS,93,100
2020-12-30 00:30:00+00:00,MILWAUKEE BUCKS,MIAMI HEAT,144,97
2020-12-30 01:00:00+00:00,ORLANDO MAGIC,OKLAHOMA CITY THUNDER,118,107
2020-12-30 03:00:00+00:00,NEW ORLEANS PELICANS,PHOENIX SUNS,86,111
2020-12-30 03:00:00+00:00,DENVER NUGGETS,SACRAMENTO KINGS,115,125
2020-12-30 03:00:00+00:00,MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,101,124
2020-12-31 00:30:00+00:00,MILWAUKEE BUCKS,MIAMI HEAT,108,119
2020-12-31 00:30:00+00:00,ATLANTA HAWKS,BROOKLYN NETS,141,145
2020-12-31 00:30:00+00:00,MEMPHIS GRIZZLIES,BOSTON CELTICS,107,126
